Model Name : A21S
Lot No : A21S
Test Start Time : 2020-12-24 07-51-11
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,Total Result,Serial Number,Contact,,,Wake up,,Impedance,,,,,,,,,,,,,,,,Consumption Current,,,,OVP U1,,,,UVP U1,,,,ODCP U1,,,,OCCP U1,,,,OVP U2,,,,UVP U2,,,,ODCP U2,,,,OCCP U2,,,,Sensing Resistor,,,Step Result,Temperature,Test Time,Test Channel
9,NG,,OK,6,6,OK,3900,OK,3.4800,300,11.6,3.6000,300,12.0,0.0600,300,0.2,8.9400,300,29.8,16.0800,300,53.6,OK,4.27,0,0.36,OK,1047.77,4446,4241,OK,96.54,2500,2509,OK,11.33,6406,OK,OK,7.03,6069,OK,OK,1026.83,4490,4285,OK,94.73,2299,2308,OK,31.20,6928,OK,OK,30.77,7052,OK,NG,0.545,9177.466,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,09
10,OK,,OK,1,1,OK,3899,OK,3.6900,300,12.3,3.6300,300,12.1,0.1200,300,0.4,8.9700,300,29.9,16.4100,300,54.7,OK,4.22,0,0.39,OK,1021.36,4440,4237,OK,94.52,2502,2511,OK,10.91,6230,OK,OK,6.89,5891,OK,OK,1057.17,4484,4279,OK,97.44,2308,2316,OK,31.84,6911,OK,OK,31.41,7105,OK,OK,0.549,0.513,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,10
11,OK,,OK,6,6,OK,3893,OK,1.3500,300,4.5,3.4500,300,11.5,0.1200,300,0.4,8.5200,300,28.4,15.5400,300,51.8,OK,4.27,0,0.40,OK,1032.48,4448,4244,OK,95.23,2501,2510,OK,11.05,6319,OK,OK,7.03,6049,OK,OK,1068.81,4490,4287,OK,97.64,2308,2317,OK,32.11,6988,OK,OK,31.68,7083,OK,OK,0.547,0.501,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,11
12,OK,,OK,3,3,OK,3905,OK,3.3900,300,11.3,3.2700,300,10.9,0.0300,300,0.1,8.6400,300,28.8,15.3300,300,51.1,OK,4.05,0,0.39,OK,1101.95,4446,4240,OK,101.19,2508,2517,OK,11.69,7033,OK,OK,7.59,6714,OK,OK,1044.88,4483,4281,OK,95.49,2306,2314,OK,31.90,7981,OK,OK,31.61,7843,OK,OK,0.545,0.505,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,12
13,OK,,OK,4,4,OK,3900,OK,3.4800,300,11.6,3.5700,300,11.9,0.0300,300,0.1,8.6700,300,28.9,15.7500,300,52.5,OK,4.28,0,0.37,OK,1008.17,4446,4242,OK,93.36,2504,2514,OK,10.77,6312,OK,OK,6.75,5992,OK,OK,1073.64,4487,4283,OK,98.44,2305,2313,OK,32.45,7025,OK,OK,31.88,7101,OK,OK,0.559,0.491,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,13
14,NG,,OK,4,4,OK,3900,OK,3.3600,300,11.2,3.5700,300,11.9,0.0300,300,0.1,8.7900,300,29.3,15.7500,300,52.5,OK,4.25,0,0.40,OK,1043.23,4449,4244,OK,95.23,2509,2517,OK,11.19,6318,OK,OK,7.03,6139,OK,OK,1022.95,4489,4286,OK,93.76,2302,2311,OK,31.06,7229,OK,OK,30.48,7275,OK,NG,0.552,13718.994,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,14
15,NG,,OK,5,5,OK,3900,OK,3.4500,300,11.5,3.5100,300,11.7,0.0000,300,0.0,8.9100,300,29.7,15.8700,300,52.9,OK,4.16,0,0.41,OK,1033.37,4442,4240,OK,95.30,2502,2511,OK,10.85,6311,OK,OK,7.03,6099,OK,OK,996.91,4483,4278,OK,91.85,2309,2319,OK,30.22,6847,OK,OK,29.93,6940,OK,NG,0.556,9699.116,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,15
16,OK,,OK,3,3,OK,3899,OK,3.7500,300,12.5,3.5400,300,11.8,0.0000,300,0.0,8.7000,300,29.0,15.6900,300,52.3,OK,4.09,0,0.41,OK,1072.31,4447,4244,OK,98.99,2508,2516,OK,11.41,6425,OK,OK,7.31,6096,OK,OK,1012.84,4487,4284,OK,93.65,2300,2309,OK,30.78,6992,OK,OK,30.48,6985,OK,OK,0.560,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,16
17,OK,,OK,2,2,OK,3898,OK,3.3600,300,11.2,3.5700,300,11.9,0.0900,300,0.3,8.3700,300,27.9,15.0900,300,50.3,OK,4.17,0,0.38,OK,1032.46,4444,4241,OK,95.22,2502,2511,OK,11.05,6239,OK,OK,6.89,6001,OK,OK,1031.89,4490,4286,OK,95.15,2305,2313,OK,31.20,7108,OK,OK,30.77,7082,OK,OK,0.546,0.503,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,17
18,NG,,OK,2,2,OK,3897,OK,3.3000,300,11.0,3.6300,300,12.1,0.2100,300,0.7,8.4600,300,28.2,15.3000,300,51.0,OK,4.23,0,0.38,OK,1080.96,4443,4240,OK,100.24,2501,2510,OK,11.41,6135,OK,OK,7.31,5846,OK,OK,1047.51,4495,4290,OK,96.82,2310,2319,OK,31.76,6762,OK,OK,31.32,6916,OK,NG,0.559,23410.618,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,18
19,NG,,OK,5,5,OK,3899,OK,3.5400,300,11.8,3.6000,300,12.0,0.0300,300,0.1,8.7900,300,29.3,16.5600,300,55.2,OK,4.22,0,0.38,OK,1051.81,4447,4242,OK,96.70,2507,2516,OK,11.13,6338,OK,OK,7.17,5978,OK,OK,1022.70,4491,4286,OK,94.10,2310,2318,OK,30.92,6820,OK,OK,30.63,6863,OK,NG,0.549,12648.855,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,19
20,OK,,OK,3,3,OK,3898,OK,3.6000,300,12.0,3.3600,300,11.2,0.0000,300,0.0,8.6700,300,28.9,16.2300,300,54.1,OK,4.18,0,0.40,OK,1047.16,4438,4237,OK,95.88,2504,2513,OK,11.19,6138,OK,OK,7.03,5849,OK,OK,1080.14,4485,4281,OK,100.07,2302,2311,OK,32.54,7014,OK,OK,31.96,7080,OK,OK,0.537,0.494,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,20
21,OK,,OK,4,3,OK,3907,OK,3.4200,300,11.4,3.6300,300,12.1,0.0600,300,0.2,8.7000,300,29.0,15.8100,300,52.7,OK,4.18,0,0.41,OK,1016.42,4440,4235,OK,93.22,2502,2511,OK,10.91,6400,OK,OK,6.89,6061,OK,OK,1070.93,4489,4284,OK,98.46,2303,2312,OK,32.25,6937,OK,OK,31.68,6963,OK,OK,0.539,0.498,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,21
22,OK,,OK,6,6,OK,3900,OK,3.2700,300,10.9,3.5400,300,11.8,0.0000,300,0.0,8.6400,300,28.8,15.4500,300,51.5,OK,4.35,0,0.39,OK,1082.32,4446,4241,OK,99.39,2500,2509,OK,11.61,6353,OK,OK,7.31,6126,OK,OK,1027.45,4488,4284,OK,95.15,2303,2312,OK,31.06,6899,OK,OK,30.63,7173,OK,OK,0.543,0.518,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,22
23,OK,,OK,2,2,OK,3901,OK,3.4200,300,11.4,3.6900,300,12.3,0.1200,300,0.4,8.6100,300,28.7,15.5400,300,51.8,OK,4.21,0,0.37,OK,1044.65,4447,4244,OK,95.65,2511,2520,OK,11.19,6308,OK,OK,7.03,6279,OK,OK,1022.06,4487,4284,OK,94.69,2299,2307,OK,31.06,6929,OK,OK,30.63,6893,OK,OK,0.551,0.517,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,23
24,NG,,OK,4,4,OK,3895,OK,3.6300,300,12.1,3.6600,300,12.2,0.0600,300,0.2,8.8800,300,29.6,16.2300,300,54.1,OK,4.28,0,0.45,OK,1020.37,4446,4243,OK,94.10,2507,2516,OK,10.91,6200,OK,OK,6.89,6061,OK,OK,1086.68,4489,4284,OK,99.56,2308,2317,OK,32.54,6814,OK,OK,32.10,6989,OK,NG,0.533,12721.325,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,24
25,NG,,OK,5,5,OK,3893,OK,3.6300,300,12.1,3.7200,300,12.4,0.1800,300,0.6,9.0300,300,30.1,16.5600,300,55.2,OK,4.18,0,0.40,OK,1064.69,4436,4234,OK,98.14,2506,2516,OK,11.47,6215,OK,OK,7.17,6008,OK,OK,1041.84,4484,4279,OK,95.99,2297,2307,OK,31.62,7053,OK,OK,31.04,7099,OK,NG,0.586,9719.449,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,25
26,OK,,OK,5,6,OK,3899,OK,3.2100,300,10.7,3.6000,300,12.0,0.0000,300,0.0,8.7600,300,29.2,15.8700,300,52.9,OK,4.29,0,0.41,OK,1047.40,4447,4244,OK,97.12,2509,2519,OK,11.13,6378,OK,OK,7.03,5899,OK,OK,1033.37,4489,4284,OK,95.36,2305,2313,OK,31.34,6836,OK,OK,30.91,6940,OK,OK,0.547,0.505,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,26
27,OK,,OK,6,6,OK,3899,OK,3.3900,300,11.3,3.6000,300,12.0,0.0600,300,0.2,8.7300,300,29.1,16.3800,300,54.6,OK,4.32,0,0.41,OK,1065.55,4445,4240,OK,98.17,2502,2511,OK,11.27,6187,OK,OK,7.17,6048,OK,OK,1036.84,4484,4291,OK,95.56,2303,2312,OK,31.34,6836,OK,OK,30.91,7140,OK,OK,0.564,0.520,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,27
28,NG,,OK,4,4,OK,3901,OK,3.4500,300,11.5,3.6000,300,12.0,0.0300,300,0.1,8.5500,300,28.5,15.9300,300,53.1,OK,4.14,0,0.47,OK,1037.90,4440,4236,OK,95.00,2497,2506,OK,11.19,6278,OK,OK,7.03,6129,OK,OK,1064.33,4485,4280,OK,98.38,2303,2311,OK,32.11,6878,OK,OK,31.68,6903,OK,NG,0.560,12704.349,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,28
29,NG,,OK,6,6,OK,3892,OK,3.3900,300,11.3,3.5400,300,11.8,0.0300,300,0.1,8.4000,300,28.0,15.6600,300,52.2,OK,4.25,0,0.42,OK,1055.66,4447,4242,OK,97.28,2506,2515,OK,11.13,6408,OK,OK,7.17,5958,OK,OK,979.93,4488,4283,OK,90.56,2306,2314,OK,29.80,6832,OK,OK,29.50,7175,OK,NG,0.556,9170.461,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,29
30,OK,,OK,6,7,OK,3900,OK,3.6300,300,12.1,3.6300,300,12.1,0.0600,300,0.2,8.8200,300,29.4,16.1400,300,53.8,OK,4.31,0,0.39,OK,1008.86,4449,4244,OK,93.34,2496,2505,OK,10.77,6282,OK,OK,6.75,5972,OK,OK,1060.86,4490,4286,OK,97.64,2308,2317,OK,31.84,6951,OK,OK,31.41,6855,OK,OK,0.569,0.517,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,30
31,OK,,OK,2,2,OK,3900,OK,3.5100,300,11.7,3.6000,300,12.0,0.0300,300,0.1,9.0000,300,30.0,16.7400,300,55.8,OK,4.20,0,0.39,OK,1066.16,4446,4242,OK,97.52,2503,2512,OK,11.47,6075,OK,OK,7.17,5798,OK,OK,1072.24,4491,4287,OK,98.87,2310,2318,OK,32.25,6967,OK,OK,31.82,6881,OK,OK,0.549,0.501,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,31
32,OK,,OK,4,3,OK,3899,OK,3.3600,300,11.2,3.6000,300,12.0,0.0000,300,0.0,8.7000,300,29.0,15.9600,300,53.2,OK,4.17,0,0.40,OK,1021.12,4441,4239,OK,94.03,2499,2508,OK,10.91,6210,OK,OK,6.89,5931,OK,OK,1039.89,4488,4284,OK,96.04,2302,2310,OK,31.27,6947,OK,OK,30.98,6870,OK,OK,0.567,0.519,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,32
33,OK,,OK,4,4,OK,3893,OK,3.3600,300,11.2,3.3600,300,11.2,0.0600,300,0.2,8.6700,300,28.9,15.4500,300,51.5,OK,3.99,0,0.37,OK,1079.99,4448,4243,OK,99.10,2500,2509,OK,11.55,7004,OK,OK,7.31,6646,OK,OK,1050.90,4494,4290,OK,96.18,2309,2318,OK,31.76,7702,OK,OK,31.46,7785,OK,OK,0.544,0.501,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,33
34,NG,,OK,5,4,OK,3892,OK,3.5400,300,11.8,3.5700,300,11.9,0.0900,300,0.3,8.7000,300,29.0,15.9000,300,53.0,OK,4.27,0,0.41,OK,1090.36,4441,4238,OK,100.06,2510,2519,OK,11.55,6404,OK,OK,7.31,5956,OK,OK,1025.16,4489,4284,OK,94.95,2310,2319,OK,31.06,7029,OK,OK,30.63,7123,OK,NG,0.533,10961.680,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,34
35,NG,,OK,3,3,OK,3900,OK,3.1500,300,10.5,3.5400,300,11.8,0.0300,300,0.1,8.5500,300,28.5,15.8700,300,52.9,OK,4.32,0,0.42,OK,1054.26,4447,4244,OK,96.39,2508,2516,OK,11.33,6326,OK,OK,7.03,6049,OK,OK,1067.92,4487,4284,OK,98.13,2305,2313,OK,32.11,7088,OK,OK,31.68,7023,OK,NG,0.539,18345.956,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,35
36,OK,,OK,2,2,OK,3900,OK,3.5400,300,11.8,3.5400,300,11.8,0.0300,300,0.1,8.9400,300,29.8,15.8100,300,52.7,OK,4.34,0,0.38,OK,1084.02,4442,4239,OK,99.79,2509,2519,OK,11.41,6155,OK,OK,7.31,5826,OK,OK,1011.97,4486,4282,OK,93.27,2306,2315,OK,30.64,6943,OK,OK,30.34,7006,OK,OK,0.558,0.510,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,36
37,OK,,OK,3,3,OK,3900,OK,3.5100,300,11.7,3.6000,300,12.0,0.0000,300,0.0,8.7600,300,29.2,16.2000,300,54.0,OK,4.35,0,0.38,OK,1034.69,4446,4244,OK,95.76,2508,2517,OK,11.19,6268,OK,OK,7.03,5859,OK,OK,1043.69,4485,4291,OK,96.88,2312,2321,OK,31.42,6825,OK,OK,31.18,7048,OK,OK,0.537,0.526,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,37
38,NG,,OK,6,5,OK,3900,OK,3.3300,300,11.1,3.5700,300,11.9,0.0300,300,0.1,8.7300,300,29.1,15.6600,300,52.2,OK,4.27,0,0.38,OK,1067.35,4451,4244,OK,98.35,2507,2516,OK,11.27,6147,OK,OK,7.17,5818,OK,OK,983.38,4488,4283,OK,90.78,2306,2315,OK,29.80,6922,OK,OK,29.50,7125,OK,NG,0.539,9715.740,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,38
39,NG,,OK,0,0,OK,3907,OK,3.4500,300,11.5,3.6000,300,12.0,0.0000,300,0.0,8.7300,300,29.1,15.6300,300,52.1,OK,4.30,0,0.53,OK,1062.77,4442,4240,OK,97.77,2499,2509,OK,11.33,6246,OK,OK,7.17,6028,OK,OK,1017.11,4487,4283,OK,93.51,2307,2316,OK,30.78,6802,OK,OK,30.48,7015,OK,NG,0.544,300.019,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-24 07:51:35,39
40,OK,,OK,1,0,OK,3900,OK,3.4200,300,11.4,3.5700,300,11.9,0.0300,300,0.1,8.5500,300,28.5,15.5700,300,51.9,OK,4.42,0,0.58,OK,1093.21,4439,4236,OK,99.96,2507,2517,OK,11.55,6184,OK,OK,7.31,5906,OK,OK,1060.30,4489,4287,OK,97.81,2305,2315,OK,31.84,6821,OK,OK,31.41,7045,OK,OK,0.560,0.523,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-24 07:51:35,40
41,NG,,OK,4,3,OK,3900,NG,3.6000,300,12.0,89.9700,300,299.9,0.1200,300,0.4,8.8200,300,29.4,102.5100,300,341.7,OK,1.01,0,0.22,OK,1012.03,4444,4242,OK,92.87,2501,2510,OK,10.91,6300,OK,OK,6.75,6122,OK,NG,0.00,4420,4235,NG,127.68,2390,2483,NG,29.52,5500,OK,NG,78.44,12400,NG,OK,0.549,0.512,OOOOOXOOOOOXOOOOOOOOXOOOOOOOOOOOOOOOOOOOOXXXXXXXXXOXOXXXXOOO,0.0,2020-12-24 07:56:25,01
