Model Name : DAVINCI2C-2
Lot No : DAVINC2C 2
Test Start Time : 2020-12-17 19-29-02
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,Total Result,Serial Number,Contact,,,Wake up,,Impedance,,,,,,,,,,,,,,,,Consumption Current,,,,OVP U1,,,,UVP U1,,,,ODCP U1,,,,OCCP U1,,,,OVP U2,,,,UVP U2,,,,ODCP U2,,,,OCCP U2,,,,Sensing Resistor,,,Step Result,Temperature,Test Time,Test Channel
13,OK,,OK,4,4,OK,3900,OK,1.4400,300,4.8,1.0800,300,3.6,0.0300,300,0.1,2.7000,300,9.0,5.2500,300,17.5,OK,3.23,0,0.23,OK,1015.04,4444,4235,OK,125.87,2493,2497,OK,15.57,10174,OK,OK,8.15,10608,OK,OK,1045.49,4479,4373,OK,129.34,2303,2307,OK,32.64,11153,OK,OK,33.32,11666,OK,OK,0.504,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,13
14,NG,,OK,4,4,OK,3899,OK,1.3200,300,4.4,1.0800,300,3.6,0.0300,300,0.1,2.5800,300,8.6,5.0100,300,16.7,OK,3.17,0,0.26,OK,1025.38,4444,4234,OK,127.50,2494,2498,OK,15.71,10122,OK,OK,8.29,10797,OK,OK,1062.51,4480,4376,OK,131.91,2292,2296,OK,33.05,10889,OK,OK,33.60,11494,OK,NG,13718.994,0.508,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:29:25,14
15,NG,,OK,5,5,OK,3900,OK,1.4700,300,4.9,1.0500,300,3.5,0.0000,300,0.0,2.5800,300,8.6,5.1000,300,17.0,OK,3.22,0,0.26,OK,1016.08,4442,4235,OK,125.39,2507,2511,OK,15.57,10104,OK,OK,8.01,10639,OK,OK,1029.26,4477,4372,OK,127.48,2297,2301,OK,32.08,11049,OK,OK,32.76,11632,OK,NG,10992.991,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:29:25,15
16,OK,,OK,3,3,OK,3899,OK,1.4100,300,4.7,1.0800,300,3.6,0.0000,300,0.0,2.5500,300,8.5,5.0400,300,16.8,OK,3.16,0,0.24,OK,1041.97,4443,4236,OK,128.94,2489,2493,OK,15.99,10020,OK,OK,8.43,10625,OK,OK,1072.92,4478,4376,OK,132.79,2305,2308,OK,33.37,10936,OK,OK,33.88,11521,OK,OK,0.511,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,16
17,OK,,OK,2,2,OK,3898,OK,1.5000,300,5.0,1.1400,300,3.8,0.0900,300,0.3,2.7900,300,9.3,5.5200,300,18.4,OK,3.16,0,0.24,OK,1050.22,4443,4235,OK,130.21,2503,2506,OK,16.13,10068,OK,OK,8.43,10755,OK,OK,1018.94,4480,4375,OK,126.18,2308,2311,OK,31.80,11102,OK,OK,32.48,11725,OK,OK,0.499,0.496,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,17
18,NG,,OK,2,2,OK,3896,OK,1.2900,300,4.3,1.2000,300,4.0,0.2100,300,0.7,2.5500,300,8.5,5.2500,300,17.5,OK,3.28,0,0.24,OK,1117.95,4448,4240,OK,138.56,2507,2510,OK,17.11,10148,OK,OK,8.99,10800,OK,OK,1063.66,4484,4379,OK,131.68,2305,2308,OK,33.05,10799,OK,OK,33.46,11415,OK,NG,0.523,23410.618,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:29:25,18
19,NG,,OK,4,4,OK,3899,OK,1.3500,300,4.5,1.0800,300,3.6,0.0300,300,0.1,2.5200,300,8.4,4.9800,300,16.6,OK,3.16,0,0.27,OK,1065.22,4440,4236,OK,131.76,2500,2503,OK,16.30,10087,OK,OK,8.43,10855,OK,OK,1003.17,4480,4376,OK,123.83,2300,2304,OK,31.37,10906,OK,OK,31.82,11671,OK,NG,0.504,10961.670,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:29:25,19
20,OK,,OK,3,3,OK,3898,OK,1.1100,300,3.7,0.9000,300,3.0,0.0000,300,0.0,2.4000,300,8.0,4.4100,300,14.7,OK,3.17,0,0.24,OK,1071.08,4441,4232,OK,132.32,2498,2501,OK,16.26,9937,OK,OK,8.57,10534,OK,OK,1043.91,4484,4374,OK,129.18,2305,2309,OK,32.49,10965,OK,OK,32.90,11481,OK,OK,0.503,0.501,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,20
21,OK,,OK,4,3,OK,3907,OK,1.4400,300,4.8,1.1100,300,3.7,0.0600,300,0.2,2.5800,300,8.6,5.1900,300,17.3,OK,3.18,0,0.24,OK,1099.07,4442,4234,OK,136.31,2496,2500,OK,16.83,10031,OK,OK,8.85,10621,OK,OK,1019.43,4475,4373,OK,126.09,2297,2300,OK,31.80,10972,OK,OK,32.30,11607,OK,OK,0.507,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,21
22,OK,,OK,7,6,OK,3900,OK,1.4400,300,4.8,1.0800,300,3.6,0.0000,300,0.0,2.6400,300,8.8,5.1600,300,17.2,OK,3.28,0,0.25,OK,1050.06,4446,4237,OK,130.17,2498,2502,OK,16.13,10138,OK,OK,8.57,10754,OK,OK,1022.33,4481,4377,OK,126.42,2304,2307,OK,31.84,11081,OK,OK,32.34,11586,OK,OK,0.511,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,22
23,OK,,OK,2,2,OK,3900,OK,1.3500,300,4.5,1.1400,300,3.8,0.1200,300,0.4,2.6700,300,8.9,5.2800,300,17.6,OK,3.15,0,0.23,OK,1019.53,4446,4238,OK,126.09,2516,2519,OK,15.57,10014,OK,OK,8.15,10458,OK,OK,1016.51,4478,4374,OK,125.75,2301,2305,OK,31.66,10923,OK,OK,32.06,11439,OK,OK,0.495,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,23
24,NG,,OK,5,4,OK,3895,OK,1.3200,300,4.4,1.1100,300,3.7,0.0600,300,0.2,2.6700,300,8.9,5.1600,300,17.2,OK,3.29,0,0.31,OK,1017.11,4443,4235,OK,125.72,2498,2502,OK,15.57,9984,OK,OK,8.15,10558,OK,OK,1034.25,4482,4374,OK,127.85,2303,2307,OK,32.21,11127,OK,OK,32.62,11713,OK,NG,13781.855,0.502,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:29:25,24
25,NG,,OK,5,5,OK,3893,OK,1.5600,300,5.2,1.2300,300,4.1,0.1800,300,0.6,2.7300,300,9.1,5.7000,300,19.0,OK,3.27,0,0.27,OK,1065.80,4444,4235,OK,131.76,2503,2507,OK,16.26,10067,OK,OK,8.57,10564,OK,OK,1005.21,4477,4373,OK,123.99,2303,2307,OK,31.24,11127,OK,OK,31.75,11702,OK,NG,10327.231,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:29:25,25
26,OK,,OK,6,6,OK,3899,OK,1.2000,300,4.0,1.0500,300,3.5,0.0000,300,0.0,2.6100,300,8.7,4.8600,300,16.2,OK,3.16,0,0.26,OK,1050.99,4443,4233,OK,130.19,2497,2500,OK,16.13,10118,OK,OK,8.43,10705,OK,OK,1037.90,4478,4372,OK,128.60,2307,2310,OK,32.35,11096,OK,OK,33.14,11738,OK,OK,0.508,0.506,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,26
27,OK,,OK,5,6,OK,3899,OK,1.4700,300,4.9,1.1100,300,3.7,0.0600,300,0.2,2.6100,300,8.7,5.2500,300,17.5,OK,3.04,0,0.26,OK,1069.45,4446,4240,OK,132.56,2518,2521,OK,16.40,10146,OK,OK,8.57,10814,OK,OK,1055.64,4479,4385,OK,130.71,2309,2312,OK,32.92,11120,OK,OK,33.32,11696,OK,OK,0.510,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,27
28,NG,,OK,4,4,OK,3901,OK,1.2600,300,4.2,1.1100,300,3.7,0.0000,300,0.0,2.6100,300,8.7,4.9800,300,16.6,OK,3.23,0,0.31,OK,1014.93,4441,4234,OK,125.27,2498,2502,OK,15.47,9955,OK,OK,8.15,10698,OK,OK,1111.71,4476,4371,OK,137.17,2301,2305,OK,34.60,10984,OK,OK,35.00,11570,OK,NG,0.522,12704.349,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:29:25,28
29,NG,,OK,6,6,OK,3892,OK,1.4400,300,4.8,1.0500,300,3.5,0.0300,300,0.1,2.6400,300,8.8,5.1600,300,17.2,OK,3.24,0,0.29,OK,1025.40,4445,4235,OK,127.42,2507,2511,OK,15.71,10122,OK,OK,8.29,10667,OK,OK,1062.99,4477,4370,OK,131.55,2297,2300,OK,33.15,11018,OK,OK,33.50,11565,OK,NG,0.520,9170.471,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:29:25,29
30,OK,,OK,6,6,OK,3900,OK,1.3500,300,4.5,1.1100,300,3.7,0.0600,300,0.2,2.6700,300,8.9,5.1900,300,17.3,OK,3.20,0,0.25,OK,1065.64,4445,4238,OK,131.77,2495,2498,OK,16.26,10087,OK,OK,8.57,10594,OK,OK,1035.40,4478,4373,OK,128.34,2295,2298,OK,32.21,10937,OK,OK,32.62,11493,OK,OK,0.509,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,30
31,OK,,OK,2,2,OK,3900,OK,1.5000,300,5.0,1.1100,300,3.7,0.0300,300,0.1,2.6100,300,8.7,5.2500,300,17.5,OK,3.26,0,0.24,OK,1060.80,4444,4234,OK,131.71,2511,2514,OK,16.26,10077,OK,OK,8.57,10664,OK,OK,1015.60,4481,4376,OK,125.59,2299,2303,OK,31.56,10914,OK,OK,32.02,11479,OK,OK,0.513,0.503,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,31
32,OK,,OK,3,3,OK,3899,OK,1.2900,300,4.3,1.0500,300,3.5,0.0000,300,0.0,2.5500,300,8.5,4.8900,300,16.3,OK,3.25,0,0.26,OK,1080.30,4443,4233,OK,133.85,2498,2502,OK,16.55,10104,OK,OK,8.71,10562,OK,OK,1056.78,4478,4374,OK,130.62,2305,2308,OK,32.92,11170,OK,OK,33.36,11706,OK,OK,0.506,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,32
33,OK,,OK,4,4,OK,3893,OK,1.2300,300,4.1,1.1400,300,3.8,0.0600,300,0.2,2.7000,300,9.0,5.1300,300,17.1,OK,3.25,0,0.20,OK,1010.07,4443,4237,OK,125.44,2507,2510,OK,15.42,9965,OK,OK,8.15,10538,OK,OK,1017.01,4481,4377,OK,125.88,2305,2309,OK,31.66,10933,OK,OK,32.06,11569,OK,OK,0.510,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,33
34,NG,,OK,5,5,OK,3892,OK,1.6800,300,5.6,1.1400,300,3.8,0.0900,300,0.3,2.6700,300,8.9,5.5800,300,18.6,OK,3.15,0,0.27,OK,1017.93,4442,4234,OK,126.13,2496,2499,OK,15.57,10074,OK,OK,8.15,10638,OK,OK,1088.70,4475,4371,OK,134.07,2302,2305,OK,33.89,10921,OK,OK,34.30,11437,OK,NG,10961.685,0.497,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:29:25,34
35,NG,,OK,3,3,OK,3900,OK,1.3500,300,4.5,1.0800,300,3.6,0.0300,300,0.1,2.7300,300,9.1,5.1900,300,17.3,OK,3.24,0,0.27,OK,1042.40,4442,4234,OK,129.51,2495,2499,OK,15.85,9981,OK,OK,8.29,10527,OK,OK,1081.56,4478,4374,OK,133.63,2299,2303,OK,33.52,10894,OK,OK,34.02,11529,OK,NG,18345.956,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:29:25,35
36,OK,,OK,1,2,OK,3900,OK,1.3800,300,4.6,1.0800,300,3.6,0.0300,300,0.1,2.5800,300,8.6,5.0700,300,16.9,OK,3.31,0,0.23,OK,1074.08,4446,4236,OK,133.87,2505,2509,OK,16.40,9966,OK,OK,8.57,10624,OK,OK,1057.46,4477,4373,OK,130.72,2312,2316,OK,32.78,10912,OK,OK,33.22,11517,OK,OK,0.518,0.510,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,36
37,OK,,OK,3,3,OK,3899,OK,1.3200,300,4.4,1.0800,300,3.6,0.0300,300,0.1,2.6100,300,8.7,5.0400,300,16.8,OK,3.27,0,0.24,OK,1037.09,4443,4235,OK,128.10,2504,2507,OK,15.85,10001,OK,OK,8.29,10577,OK,OK,1084.36,4481,4377,OK,134.25,2305,2308,OK,33.76,11022,OK,OK,34.34,11596,OK,OK,0.500,0.495,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,37
38,NG,,OK,5,5,OK,3900,OK,1.3800,300,4.6,1.0800,300,3.6,0.0300,300,0.1,2.6400,300,8.8,5.1300,300,17.1,OK,3.15,0,0.23,OK,1055.49,4444,4239,OK,131.02,2505,2508,OK,16.13,10008,OK,OK,8.57,10684,OK,OK,1144.52,4478,4374,OK,141.34,2300,2303,OK,35.71,10882,OK,OK,36.12,11508,OK,NG,0.502,9715.750,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:29:25,38
39,NG,,OK,0,0,OK,3907,OK,1.3200,300,4.4,1.0200,300,3.4,0.0000,300,0.0,2.5500,300,8.5,4.8900,300,16.3,OK,3.42,0,0.38,OK,1019.59,4444,4233,OK,126.80,2500,2503,OK,15.29,10147,OK,OK,8.01,10769,OK,OK,1041.05,4475,4369,OK,128.86,2305,2309,OK,31.98,10960,OK,OK,32.48,11575,OK,NG,0.502,300.019,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:29:25,39
40,OK,,OK,1,0,OK,3900,OK,1.2000,300,4.0,1.0800,300,3.6,0.0300,300,0.1,2.5500,300,8.5,4.8600,300,16.2,OK,3.34,0,0.43,OK,1027.05,4443,4244,OK,127.43,2499,2503,OK,15.29,9947,OK,OK,7.87,10691,OK,OK,1047.75,4479,4375,OK,129.99,2301,2305,OK,32.08,10959,OK,OK,32.76,11512,OK,OK,0.518,0.518,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:29:25,40
41,NG,,OK,4,3,OK,3900,NG,1.2000,300,4.0,89.9700,300,299.9,0.1200,300,0.4,0.1200,300,0.4,91.4100,300,304.7,NG,33.51,0,0.26,NG,0.00,0,0,NG,0.00,0,0,NG,0.00,0,NG,NG,0.00,0,NG,NG,0.00,0,0,NG,0.00,0,0,NG,0.00,0,NG,NG,0.00,0,NG,NG,0.032,0.030,OOOOOXOOOOOXOOOOOOOOXXXOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0.0,2020-12-17 19:30:29,01
