Model Name : DAVINCI2C-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lot No : davinci2c 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Start Time : 2020-12-19 16-30-50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NG,,OK,3,3,OK,3901,OK,1.56,300,5.2,1.08,300,3.6,0,300,0,2.7,300,9,5.34,300,17.8,OK,3.17,0,0.22,OK,1063.91,4446,4237,OK,131.23,2509,2512,OK,16.26,10097,OK,OK,8.57,10704,OK,OK,1064.8,4482,4377,OK,131.43,2307,2311,OK,33.19,11158,OK,OK,33.6,11644,OK,NG,18325.004,0.505,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0,12/19/2020 16:31,5
6,NG,,OK,5,5,NG,997,NG,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,OK,0,0,0.01,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0.04,0.04,OOOXXXOOOOOOOOOOOOOOXOOOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,12/19/2020 16:31,6
7,OK,,OK,2,3,OK,3899,OK,1.44,300,4.8,1.08,300,3.6,0,300,0,2.64,300,8.8,5.16,300,17.2,OK,3.15,0,0.22,OK,1034.52,4443,4236,OK,127.66,2503,2507,OK,15.85,10031,OK,OK,8.43,10725,OK,OK,1059.98,4480,4375,OK,131.08,2303,2307,OK,33.05,11039,OK,OK,33.46,11495,OK,OK,0.503,0.52,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,7
8,NG,,OK,4,4,OK,3899,OK,1.59,300,5.3,1.11,300,3.7,0.03,300,0.1,2.7,300,9,5.43,300,18.1,OK,3.15,0,0.29,OK,1013.01,4444,4235,OK,125.37,2499,2503,OK,15.57,10144,OK,OK,8.15,10708,OK,OK,1024.94,4480,4375,OK,127.01,2305,2308,OK,31.94,10950,OK,OK,32.34,11446,OK,NG,0.51,13672.211,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0,12/19/2020 16:31,8
9,NG,,OK,6,6,NG,832,NG,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,OK,0,0,0.01,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0.02,0.024,OOOXXXOOOOOOOOOOOOOOXOOOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,12/19/2020 16:31,9
10,OK,,OK,1,1,OK,3900,OK,1.35,300,4.5,1.17,300,3.9,0.12,300,0.4,2.79,300,9.3,5.43,300,18.1,OK,3.23,0,0.25,OK,1064.94,4445,4235,OK,131.67,2503,2507,OK,16.26,9977,OK,OK,8.57,10594,OK,OK,1028.68,4481,4376,OK,127.4,2304,2308,OK,32.08,10949,OK,OK,32.48,11585,OK,OK,0.508,0.502,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,10
11,OK,,OK,5,5,OK,3892,OK,1.5,300,5,1.08,300,3.6,0.12,300,0.4,2.61,300,8.7,5.31,300,17.7,OK,3.21,0,0.26,OK,1012.4,4445,4239,OK,125.06,2507,2510,OK,15.42,10065,OK,OK,8.15,10608,OK,OK,1013.32,4479,4374,OK,125.03,2310,2314,OK,31.52,11094,OK,OK,31.92,11640,OK,OK,0.494,0.5,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,11
12,OK,,OK,3,3,OK,3906,OK,1.47,300,4.9,1.08,300,3.6,0.03,300,0.1,2.55,300,8.5,5.13,300,17.1,OK,3.09,0,0.2,OK,1062.98,4445,4237,OK,131.5,2498,2502,OK,16.4,10216,OK,OK,8.57,10824,OK,OK,1087.42,4483,4377,OK,133.69,2299,2303,OK,33.89,11151,OK,OK,34.44,11625,OK,OK,0.496,0.503,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,12
13,OK,,OK,5,4,OK,3901,OK,1.77,300,5.9,1.08,300,3.6,0.03,300,0.1,2.76,300,9.2,5.64,300,18.8,OK,3.25,0,0.23,OK,1015.04,4443,4235,OK,125.82,2493,2496,OK,15.57,10164,OK,OK,8.15,10598,OK,OK,1045.16,4479,4373,OK,129.26,2303,2307,OK,32.64,11153,OK,OK,33.32,11676,OK,OK,0.499,0.508,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,13
14,NG,,OK,4,4,OK,3900,OK,1.47,300,4.9,1.08,300,3.6,0.03,300,0.1,2.73,300,9.1,5.31,300,17.7,OK,3.18,0,0.26,OK,1024.65,4443,4234,OK,127.35,2494,2497,OK,15.71,10122,OK,OK,8.29,10787,OK,OK,1061.84,4480,4375,OK,131.88,2292,2296,OK,33.05,10879,OK,OK,33.6,11494,OK,NG,13718.994,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0,12/19/2020 16:31,14
15,NG,,OK,5,5,OK,3900,OK,1.56,300,5.2,1.08,300,3.6,0,300,0,2.64,300,8.8,5.28,300,17.6,OK,3.23,0,0.26,OK,1015.21,4442,4235,OK,125.21,2507,2510,OK,15.57,10114,OK,OK,8.01,10649,OK,OK,1028.71,4477,4371,OK,127.45,2297,2301,OK,32.08,11039,OK,OK,32.62,11633,OK,NG,10305.614,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0,12/19/2020 16:31,15
16,OK,,OK,4,3,OK,3899,OK,1.44,300,4.8,1.08,300,3.6,0,300,0,2.61,300,8.7,5.13,300,17.1,OK,3.18,0,0.24,OK,1041.02,4442,4235,OK,128.77,2489,2492,OK,15.99,10010,OK,OK,8.43,10625,OK,OK,1071.3,4478,4376,OK,132.6,2305,2308,OK,33.33,10936,OK,OK,33.88,11521,OK,OK,0.511,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,16
17,NG,,OK,2,3,NG,880,NG,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,OK,0,0,0.01,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0.02,0.02,OOOXXXOOOOOOOOOOOOOOXOOOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,12/19/2020 16:31,17
18,NG,,OK,2,2,OK,3897,OK,1.29,300,4.3,1.2,300,4,0.21,300,0.7,2.58,300,8.6,5.28,300,17.6,OK,3.29,0,0.24,OK,1116.59,4447,4240,OK,138.39,2507,2510,OK,17.11,10128,OK,OK,8.99,10810,OK,OK,1062.86,4483,4379,OK,131.48,2305,2308,OK,33.05,10779,OK,OK,33.46,11425,OK,NG,0.518,16385.929,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0,12/19/2020 16:31,18
19,NG,,OK,5,4,OK,3900,OK,1.38,300,4.6,1.08,300,3.6,0.03,300,0.1,2.55,300,8.5,5.04,300,16.8,OK,3.16,0,0.27,OK,1063.59,4441,4236,OK,131.53,2499,2503,OK,16.4,10076,OK,OK,8.57,10844,OK,OK,1002.56,4480,4375,OK,123.74,2300,2304,OK,31.37,10896,OK,OK,31.92,11670,OK,NG,0.503,9133.885,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0,12/19/2020 16:31,19
20,OK,,OK,3,3,OK,3898,OK,1.26,300,4.2,0.9,300,3,0,300,0,2.49,300,8.3,4.65,300,15.5,OK,3.18,0,0.24,OK,1070.05,4440,4232,OK,132.3,2498,2501,OK,16.26,9947,OK,OK,8.57,10544,OK,OK,1043.17,4484,4373,OK,129.1,2305,2309,OK,32.35,10966,OK,OK,32.9,11481,OK,OK,0.503,0.5,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,20
21,OK,,OK,3,4,OK,3907,OK,1.47,300,4.9,1.11,300,3.7,0.06,300,0.2,2.61,300,8.7,5.25,300,17.5,OK,3.18,0,0.24,OK,1098.09,4442,4236,OK,136.15,2496,2500,OK,16.83,10031,OK,OK,8.85,10621,OK,OK,1018.44,4474,4373,OK,125.97,2296,2300,OK,31.8,10982,OK,OK,32.34,11606,OK,OK,0.506,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,21
22,OK,,OK,6,6,OK,3901,OK,1.5,300,5,1.08,300,3.6,0,300,0,2.73,300,9.1,5.31,300,17.7,OK,3.29,0,0.25,OK,1049.52,4447,4237,OK,130.07,2498,2501,OK,16.13,10118,OK,OK,8.57,10754,OK,OK,1020.82,4481,4377,OK,126.34,2304,2307,OK,31.8,11082,OK,OK,32.34,11586,OK,OK,0.51,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,22
23,OK,,OK,2,2,OK,3901,OK,1.41,300,4.7,1.14,300,3.8,0.12,300,0.4,2.76,300,9.2,5.43,300,18.1,OK,3.15,0,0.22,OK,1018.3,4445,4237,OK,125.96,2514,2518,OK,15.57,10004,OK,OK,8.15,10458,OK,OK,1015.22,4478,4374,OK,125.63,2301,2305,OK,31.66,10913,OK,OK,32.06,11449,OK,OK,0.494,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,23
24,NG,,OK,5,4,NG,887,NG,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,OK,0,0,0.01,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0.03,0.037,OOOXXXOOOOOOOOOOOOOOXOOOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,12/19/2020 16:31,24
25,NG,,OK,5,5,OK,3892,OK,1.68,300,5.6,1.23,300,4.1,0.18,300,0.6,2.79,300,9.3,5.88,300,19.6,OK,3.28,0,0.27,OK,1065.29,4443,4235,OK,131.7,2503,2507,OK,16.26,10067,OK,OK,8.57,10564,OK,OK,1005,4477,4373,OK,123.95,2303,2307,OK,31.24,11117,OK,OK,31.78,11672,OK,NG,9719.449,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0,12/19/2020 16:31,25
26,OK,,OK,6,6,OK,3899,OK,1.35,300,4.5,1.05,300,3.5,0,300,0,2.73,300,9.1,5.13,300,17.1,OK,3.17,0,0.26,OK,1050.41,4442,4233,OK,130.03,2497,2500,OK,16.13,10118,OK,OK,8.43,10705,OK,OK,1035.88,4478,4372,OK,128.32,2307,2310,OK,32.35,11096,OK,OK,32.9,11741,OK,OK,0.508,0.506,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,26
27,OK,,OK,5,5,OK,3899,OK,1.56,300,5.2,1.11,300,3.7,0.06,300,0.2,2.67,300,8.9,5.4,300,18,OK,3.05,0,0.26,OK,1068.14,4445,4240,OK,132.46,2518,2521,OK,16.4,10136,OK,OK,8.57,10814,OK,OK,1053.29,4478,4385,OK,130.39,2309,2312,OK,32.78,11122,OK,OK,33.32,11686,OK,OK,0.51,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,27
28,NG,,OK,4,4,OK,3901,OK,1.35,300,4.5,1.11,300,3.7,0,300,0,2.7,300,9,5.16,300,17.2,OK,3.24,0,0.31,OK,1013.65,4441,4234,OK,125.09,2498,2502,OK,15.42,9955,OK,OK,8.15,10698,OK,OK,1108.42,4476,4371,OK,136.67,2301,2305,OK,34.6,10984,OK,OK,34.86,11561,OK,NG,0.522,12704.349,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0,12/19/2020 16:31,28
29,NG,,OK,6,6,OK,3892,OK,1.53,300,5.1,1.05,300,3.5,0.03,300,0.1,2.7,300,9,5.31,300,17.7,OK,3.25,0,0.29,OK,1025.08,4444,4234,OK,127.24,2507,2510,OK,15.71,10122,OK,OK,8.29,10667,OK,OK,1061.43,4476,4370,OK,131.25,2297,2300,OK,33.05,11029,OK,OK,33.46,11565,OK,NG,0.52,9170.471,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0,12/19/2020 16:31,29
30,NG,,OK,7,6,OK,3900,OK,1.41,300,4.7,1.11,300,3.7,0.06,300,0.2,2.76,300,9.2,5.34,300,17.8,OK,3.2,0,0.25,OK,1064.04,4444,4238,OK,131.56,2495,2498,OK,16.26,10087,OK,OK,8.43,10605,OK,NG,923.18,4445,4444,OK,128.26,2295,2298,OK,32.21,10937,OK,OK,32.62,11483,OK,OK,0.508,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOXXOOOOOOOOOOOOOOO,0,12/19/2020 16:31,30
31,OK,,OK,3,2,OK,3900,OK,1.53,300,5.1,1.14,300,3.8,0.03,300,0.1,2.73,300,9.1,5.43,300,18.1,OK,3.27,0,0.24,OK,1060.67,4443,4234,OK,131.69,2510,2514,OK,16.26,10077,OK,OK,8.57,10674,OK,OK,1014.44,4479,4376,OK,125.36,2299,2302,OK,31.52,10924,OK,OK,31.92,11490,OK,OK,0.512,0.501,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,31
32,OK,,OK,3,3,OK,3899,OK,1.44,300,4.8,1.05,300,3.5,0,300,0,2.7,300,9,5.19,300,17.3,OK,3.25,0,0.26,OK,1079.68,4443,4233,OK,133.71,2499,2502,OK,16.55,10104,OK,OK,8.71,10572,OK,OK,1054.9,4478,4374,OK,130.4,2305,2308,OK,32.92,11150,OK,OK,33.32,11696,OK,OK,0.505,0.508,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,32
33,OK,,OK,4,3,OK,3893,OK,1.41,300,4.7,1.17,300,3.9,0.06,300,0.2,2.73,300,9.1,5.37,300,17.9,OK,3.27,0,0.2,OK,1009.56,4443,4237,OK,125.35,2507,2510,OK,15.42,9955,OK,OK,8.15,10538,OK,OK,1016.81,4481,4376,OK,125.76,2305,2309,OK,31.66,10923,OK,OK,32.06,11549,OK,OK,0.511,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,33
34,NG,,OK,5,5,OK,3892,OK,1.74,300,5.8,1.14,300,3.8,0.09,300,0.3,2.7,300,9,5.67,300,18.9,OK,3.16,0,0.27,OK,1016.92,4441,4234,OK,126,2496,2499,OK,15.57,10074,OK,OK,8.15,10648,OK,OK,1086.02,4474,4371,OK,133.68,2302,2305,OK,33.76,10912,OK,OK,34.16,11438,OK,NG,10961.685,0.497,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0,12/19/2020 16:31,34
35,NG,,OK,3,3,OK,3900,OK,1.41,300,4.7,1.08,300,3.6,0.03,300,0.1,2.73,300,9.1,5.25,300,17.5,OK,3.25,0,0.27,OK,1042.35,4442,4234,OK,129.49,2496,2499,OK,15.85,9971,OK,OK,8.29,10527,OK,OK,1078.83,4478,4373,OK,133.26,2299,2303,OK,33.47,10885,OK,OK,33.88,11521,OK,NG,16510.859,0.511,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0,12/19/2020 16:31,35
36,OK,,OK,2,2,OK,3901,OK,1.5,300,5,1.08,300,3.6,0.03,300,0.1,2.61,300,8.7,5.22,300,17.4,OK,3.32,0,0.23,OK,1073.24,4446,4236,OK,133.7,2505,2509,OK,16.26,9957,OK,OK,8.57,10604,OK,OK,1055.95,4477,4373,OK,130.56,2312,2315,OK,32.78,10902,OK,OK,33.32,11526,OK,OK,0.518,0.51,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,36
37,NG,,OK,3,3,NG,891,NG,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,OK,0,0,0.01,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0,0,0,NG,0,0,0,NG,0,0,NG,NG,0,0,NG,NG,0.02,0.02,OOOXXXOOOOOOOOOOOOOOXOOOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0,12/19/2020 16:31,37
38,NG,,OK,5,5,OK,3899,OK,1.32,300,4.4,1.08,300,3.6,0.03,300,0.1,2.61,300,8.7,5.04,300,16.8,OK,3.23,0,0.24,NG,1025.93,4445,4185,OK,127.29,2500,2503,OK,15.71,9952,OK,OK,8.29,10687,OK,OK,1046.23,4479,4376,OK,129.82,2302,2306,OK,32.64,10953,OK,OK,33.04,11529,OK,OK,0.5,0.505,OOOOOOOOOOOOOOOOOOOOOOOOOXOOXOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,38
39,OK,,OK,1,0,OK,3907,OK,1.5,300,5,1.02,300,3.4,0,300,0,2.64,300,8.8,5.16,300,17.2,OK,3.33,0,0.38,OK,1035.92,4441,4233,OK,127.96,2502,2506,OK,15.42,9985,OK,OK,8.01,10589,OK,OK,1083.63,4480,4375,OK,134.14,2303,2306,OK,33.33,11006,OK,OK,33.88,11621,OK,OK,0.5,0.494,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0,12/19/2020 16:31,39
40,NG,,OK,0,0,OK,3901,OK,1.41,300,4.7,1.08,300,3.6,0.03,300,0.1,2.58,300,8.6,5.1,300,17,OK,3.29,0,0.43,OK,1054.05,4442,4247,OK,130.82,2504,2508,OK,15.71,9992,OK,OK,7.73,10682,OK,OK,1142.96,4477,4373,OK,141.03,2299,2303,OK,35.01,10859,OK,OK,35.56,11514,OK,NG,0.519,300.034,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0,12/19/2020 16:31,40
