Model Name : DAVINCI2C-2
Lot No : DAVINC2C 2
Test Start Time : 2020-12-17 19-52-35
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,Total Result,Serial Number,Contact,,,Wake up,,Impedance,,,,,,,,,,,,,,,,Consumption Current,,,,OVP U1,,,,UVP U1,,,,ODCP U1,,,,OCCP U1,,,,OVP U2,,,,UVP U2,,,,ODCP U2,,,,OCCP U2,,,,Sensing Resistor,,,Step Result,Temperature,Test Time,Test Channel
13,OK,,OK,4,4,OK,3900,OK,1.4400,300,4.8,1.0800,300,3.6,0.0300,300,0.1,2.7000,300,9.0,5.2500,300,17.5,OK,3.22,0,0.23,OK,1016.23,4443,4235,OK,125.91,2493,2496,OK,15.57,10164,OK,OK,8.15,10618,OK,OK,1046.17,4478,4373,OK,129.33,2303,2307,OK,32.64,11163,OK,OK,33.32,11666,OK,OK,0.505,0.508,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,13
14,NG,,OK,4,4,OK,3899,OK,1.4400,300,4.8,1.0800,300,3.6,0.0300,300,0.1,2.6400,300,8.8,5.1900,300,17.3,OK,3.16,0,0.26,OK,1025.81,4443,4234,OK,127.49,2494,2497,OK,15.71,10122,OK,OK,8.29,10787,OK,OK,1063.29,4480,4376,OK,132.04,2293,2296,OK,33.05,10889,OK,OK,33.60,11494,OK,NG,13718.994,0.510,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:52:56,14
15,NG,,OK,5,5,OK,3900,OK,1.4700,300,4.9,1.0500,300,3.5,0.0000,300,0.0,2.5800,300,8.6,5.1000,300,17.0,OK,3.21,0,0.26,OK,1016.96,4442,4235,OK,125.45,2507,2511,OK,15.57,10114,OK,OK,8.15,10648,OK,OK,1029.19,4477,4371,OK,127.56,2297,2301,OK,32.08,11049,OK,OK,32.76,11622,OK,NG,10992.991,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:52:56,15
16,OK,,OK,3,3,OK,3899,OK,1.4100,300,4.7,1.0500,300,3.5,0.0000,300,0.0,2.5800,300,8.6,5.0400,300,16.8,OK,3.16,0,0.24,OK,1042.29,4442,4236,OK,128.97,2489,2492,OK,15.99,10020,OK,OK,8.43,10635,OK,OK,1072.99,4478,4376,OK,132.81,2305,2308,OK,33.37,10946,OK,OK,33.88,11521,OK,OK,0.511,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,16
17,OK,,OK,2,2,OK,3898,OK,1.4700,300,4.9,1.1100,300,3.7,0.0900,300,0.3,2.7900,300,9.3,5.4600,300,18.2,OK,3.15,0,0.23,OK,1050.04,4444,4235,OK,130.28,2503,2506,OK,16.13,10058,OK,OK,8.43,10755,OK,OK,1018.31,4479,4375,OK,126.16,2308,2311,OK,31.80,11092,OK,OK,32.48,11735,OK,OK,0.498,0.495,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,17
18,NG,,OK,2,2,OK,3896,OK,1.2900,300,4.3,1.1700,300,3.9,0.2100,300,0.7,2.5500,300,8.5,5.2200,300,17.4,OK,3.26,0,0.24,OK,1118.09,4447,4240,OK,138.70,2507,2510,OK,17.11,10138,OK,OK,9.13,10788,OK,OK,1063.59,4484,4379,OK,131.63,2305,2308,OK,33.05,10809,OK,OK,33.46,11415,OK,NG,0.525,20483.662,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:52:56,18
19,NG,,OK,5,4,OK,3899,OK,1.3500,300,4.5,1.0800,300,3.6,0.0300,300,0.1,2.5500,300,8.5,5.0100,300,16.7,OK,3.15,0,0.27,OK,1065.89,4441,4236,OK,131.86,2499,2503,OK,16.30,10077,OK,OK,8.43,10855,OK,OK,1003.34,4480,4376,OK,123.85,2300,2304,OK,31.37,10896,OK,OK,31.82,11671,OK,NG,0.503,10961.670,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:52:56,19
20,OK,,OK,3,3,OK,3898,OK,1.1100,300,3.7,0.9000,300,3.0,0.0000,300,0.0,2.3400,300,7.8,4.3500,300,14.5,OK,3.17,0,0.24,OK,1071.38,4441,4233,OK,132.49,2498,2501,OK,16.26,9937,OK,OK,8.57,10544,OK,OK,1044.03,4483,4374,OK,129.18,2305,2309,OK,32.49,10965,OK,OK,32.90,11481,OK,OK,0.503,0.500,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,20
21,OK,,OK,4,3,OK,3907,OK,1.4700,300,4.9,1.1100,300,3.7,0.0600,300,0.2,2.5800,300,8.6,5.2200,300,17.4,OK,3.16,0,0.24,OK,1099.09,4442,4234,OK,136.37,2496,2499,OK,16.83,10041,OK,OK,8.85,10621,OK,OK,1019.86,4475,4370,OK,126.13,2297,2300,OK,31.80,10982,OK,OK,32.30,11607,OK,OK,0.506,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,21
22,OK,,OK,7,6,OK,3900,OK,1.4100,300,4.7,1.0800,300,3.6,0.0000,300,0.0,2.6400,300,8.8,5.1300,300,17.1,OK,3.27,0,0.25,OK,1050.40,4446,4237,OK,130.23,2498,2501,OK,16.13,10128,OK,OK,8.57,10754,OK,OK,1022.75,4481,4377,OK,126.45,2304,2307,OK,31.90,11081,OK,OK,32.34,11576,OK,OK,0.511,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,22
23,OK,,OK,2,2,OK,3900,OK,1.3500,300,4.5,1.1400,300,3.8,0.1200,300,0.4,2.6700,300,8.9,5.2800,300,17.6,OK,3.15,0,0.23,OK,1019.58,4446,4237,OK,126.14,2515,2519,OK,15.57,10014,OK,OK,8.15,10458,OK,OK,1016.84,4478,4374,OK,125.73,2301,2305,OK,31.66,10933,OK,OK,32.06,11449,OK,OK,0.498,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,23
24,NG,,OK,5,4,OK,3895,OK,1.3200,300,4.4,1.1100,300,3.7,0.0600,300,0.2,2.6700,300,8.9,5.1600,300,17.2,OK,3.28,0,0.31,OK,1017.64,4443,4235,OK,125.77,2498,2502,OK,15.57,9984,OK,OK,8.15,10548,OK,OK,1034.12,4482,4374,OK,127.77,2303,2307,OK,32.21,11117,OK,OK,32.62,11703,OK,NG,13781.855,0.503,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:52:56,24
25,NG,,OK,5,5,OK,3893,OK,1.5600,300,5.2,1.2300,300,4.1,0.1800,300,0.6,2.7300,300,9.1,5.7000,300,19.0,OK,3.26,0,0.27,OK,1065.83,4443,4234,OK,131.71,2503,2507,OK,16.26,10057,OK,OK,8.57,10564,OK,OK,1005.12,4477,4372,OK,124.08,2304,2307,OK,31.24,11117,OK,OK,31.68,11693,OK,NG,9719.449,0.506,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:52:56,25
26,OK,,OK,6,6,OK,3899,OK,1.2000,300,4.0,1.0500,300,3.5,0.0000,300,0.0,2.6100,300,8.7,4.8600,300,16.2,OK,3.15,0,0.26,OK,1052.21,4442,4234,OK,130.30,2497,2500,OK,16.13,10108,OK,OK,8.43,10705,OK,OK,1038.06,4477,4372,OK,128.68,2307,2310,OK,32.35,11096,OK,OK,33.08,11759,OK,OK,0.508,0.506,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,26
27,OK,,OK,6,5,OK,3899,OK,1.4700,300,4.9,1.1100,300,3.7,0.0600,300,0.2,2.6100,300,8.7,5.2500,300,17.5,OK,3.02,0,0.26,OK,1069.62,4446,4240,OK,132.64,2518,2521,OK,16.40,10146,OK,OK,8.71,10802,OK,OK,1056.78,4478,4385,OK,130.83,2309,2312,OK,32.92,11120,OK,OK,33.32,11686,OK,OK,0.510,0.511,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,27
28,NG,,OK,4,4,OK,3901,OK,1.2600,300,4.2,1.0800,300,3.6,0.0000,300,0.0,2.6100,300,8.7,4.9500,300,16.5,OK,3.22,0,0.31,OK,1014.79,4441,4234,OK,125.24,2498,2502,OK,15.52,9954,OK,OK,8.15,10688,OK,OK,1112.22,4476,4371,OK,137.21,2301,2305,OK,34.60,10994,OK,OK,35.04,11569,OK,NG,0.522,13763.464,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:52:56,28
29,NG,,OK,6,5,OK,3892,OK,1.4400,300,4.8,1.0500,300,3.5,0.0300,300,0.1,2.6400,300,8.8,5.1600,300,17.2,OK,3.24,0,0.29,OK,1026.33,4444,4234,OK,127.46,2507,2511,OK,15.71,10122,OK,OK,8.29,10667,OK,OK,1062.51,4476,4370,OK,131.59,2297,2300,OK,33.15,11028,OK,OK,33.50,11565,OK,NG,0.520,9710.207,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:52:56,29
30,OK,,OK,6,6,OK,3900,OK,1.3200,300,4.4,1.1100,300,3.7,0.0600,300,0.2,2.6700,300,8.9,5.1600,300,17.2,OK,3.19,0,0.25,OK,1066.46,4444,4238,OK,131.82,2495,2498,OK,16.26,10097,OK,OK,8.57,10594,OK,OK,1035.72,4478,4373,OK,128.35,2295,2298,OK,32.21,10937,OK,OK,32.62,11493,OK,OK,0.509,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,30
31,OK,,OK,2,2,OK,3900,OK,1.5000,300,5.0,1.1400,300,3.8,0.0300,300,0.1,2.6400,300,8.8,5.3100,300,17.7,OK,3.25,0,0.24,OK,1060.89,4444,4234,OK,131.71,2510,2514,OK,16.26,10087,OK,OK,8.57,10674,OK,OK,1015.16,4480,4376,OK,125.52,2299,2302,OK,31.62,10923,OK,OK,31.96,11490,OK,OK,0.512,0.502,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,31
32,OK,,OK,3,3,OK,3899,OK,1.2900,300,4.3,1.0200,300,3.4,0.0000,300,0.0,2.5500,300,8.5,4.8600,300,16.2,OK,3.25,0,0.26,OK,1080.55,4443,4233,OK,133.76,2498,2502,OK,16.55,10094,OK,OK,8.71,10582,OK,OK,1056.69,4478,4374,OK,130.65,2305,2308,OK,32.92,11160,OK,OK,33.36,11696,OK,OK,0.505,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,32
33,OK,,OK,4,4,OK,3893,OK,1.2300,300,4.1,1.1400,300,3.8,0.0600,300,0.2,2.7000,300,9.0,5.1300,300,17.1,OK,3.25,0,0.20,OK,1010.88,4443,4237,OK,125.44,2507,2510,OK,15.42,9965,OK,OK,8.15,10538,OK,OK,1016.88,4480,4376,OK,125.89,2305,2309,OK,31.66,10923,OK,OK,32.06,11559,OK,OK,0.510,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,33
34,NG,,OK,5,5,OK,3892,OK,1.6800,300,5.6,1.1400,300,3.8,0.0900,300,0.3,2.6700,300,8.9,5.5800,300,18.6,OK,3.14,0,0.27,OK,1018.07,4441,4234,OK,126.13,2496,2499,OK,15.57,10074,OK,OK,8.15,10648,OK,OK,1088.73,4475,4371,OK,134.06,2302,2305,OK,33.89,10921,OK,OK,34.30,11437,OK,NG,11745.021,0.497,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:52:56,34
35,NG,,OK,3,3,OK,3900,OK,1.3200,300,4.4,1.0800,300,3.6,0.0300,300,0.1,2.6700,300,8.9,5.1000,300,17.0,OK,3.24,0,0.27,OK,1042.24,4442,4234,OK,129.54,2496,2499,OK,15.85,9981,OK,OK,8.29,10527,OK,OK,1081.75,4478,4374,OK,133.66,2299,2303,OK,33.57,10894,OK,OK,34.02,11529,OK,NG,20639.832,0.511,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-17 19:52:56,35
36,OK,,OK,2,2,OK,3900,OK,1.3800,300,4.6,1.0800,300,3.6,0.0300,300,0.1,2.5800,300,8.6,5.0700,300,16.9,OK,3.30,0,0.23,OK,1074.39,4446,4236,OK,133.89,2505,2509,OK,16.40,9966,OK,OK,8.57,10614,OK,OK,1057.71,4477,4373,OK,130.77,2312,2316,OK,32.78,10912,OK,OK,33.22,11517,OK,OK,0.520,0.510,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,36
37,OK,,OK,3,3,OK,3900,OK,1.3200,300,4.4,1.0800,300,3.6,0.0000,300,0.0,2.6100,300,8.7,5.0100,300,16.7,OK,3.26,0,0.24,OK,1037.70,4443,4235,OK,128.17,2504,2507,OK,15.85,10001,OK,OK,8.29,10587,OK,OK,1084.56,4481,4377,OK,134.23,2305,2308,OK,33.76,11022,OK,OK,34.34,11596,OK,OK,0.500,0.495,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,37
38,NG,,OK,5,5,OK,3900,OK,1.3500,300,4.5,1.0800,300,3.6,0.0300,300,0.1,2.6100,300,8.7,5.0700,300,16.9,OK,3.14,0,0.23,OK,1055.15,4444,4238,OK,130.98,2505,2508,OK,16.13,10008,OK,OK,8.57,10684,OK,OK,1145.34,4478,4374,OK,141.39,2300,2303,OK,35.71,10872,OK,OK,36.12,11508,OK,NG,0.502,9175.706,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:52:56,38
39,NG,,OK,0,0,OK,3907,OK,1.3200,300,4.4,1.0200,300,3.4,0.0000,300,0.0,2.5500,300,8.5,4.8900,300,16.3,OK,3.41,0,0.38,OK,1019.96,4444,4233,OK,126.85,2500,2503,OK,15.29,10147,OK,OK,8.01,10759,OK,OK,1040.85,4475,4370,OK,128.84,2305,2309,OK,31.98,10960,OK,OK,32.48,11565,OK,NG,0.502,4294967.297,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-17 19:52:56,39
40,OK,,OK,0,0,OK,3900,OK,1.2000,300,4.0,1.0800,300,3.6,0.0300,300,0.1,2.5500,300,8.5,4.8600,300,16.2,OK,3.33,0,0.43,OK,1027.45,4443,4244,OK,127.46,2499,2503,OK,15.29,9947,OK,OK,7.87,10681,OK,OK,1048.40,4478,4375,OK,130.04,2302,2305,OK,32.08,10959,OK,OK,32.76,11522,OK,OK,0.528,0.518,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-17 19:52:56,40
41,NG,,OK,3,3,OK,3883,NG,1.2900,300,4.3,0.1200,300,0.4,0.1200,300,0.4,89.9700,300,299.9,91.5000,300,305.0,NG,6.81,0,0.30,NG,0.00,0,0,NG,0.00,0,0,NG,0.00,0,NG,NG,0.00,0,NG,NG,0.00,0,0,NG,0.00,0,0,NG,0.00,0,NG,NG,0.00,0,NG,NG,0.032,0.030,OOOOOXOOOOOOOOOOOXOOXXXOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0.0,2020-12-17 19:57:44,01
