Model Name : BEYOND 1
Lot No : beyond 1
Test Start Time : 2020-12-15 08-04-19
Channel Serial : PM16113017,PM16113018,PM16113009,PM16114002,TPSPMP-017,PM16114028,PM16113011,PM16113012,PM16113001,PM16113002,PM16112015,PM16112013,PM16114019,PM16114020,PM16912005,PM16912006,PM16114003,PM16114004,PM16114007,PM16113019,PM16113013,PM16114032,PM16912003,PM16114023,PM16113013,PM16113020,PM16114025,PM16114026,PM19612005,PM16114006,PM16113015,PM16113016,PM16113009,PM16114007,PM19612005,PM19612006,PM16114037,PM16114038,PM20706001,PM20706002


,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count,Total Result,Serial Number,Contact,,,Wake up,,Impedance,,,,,,,,,,,,,,,,Consumption Current,,,,OVP U1,,,,UVP U1,,,,ODCP U1,,,,OCCP U1,,,,OVP U2,,,,UVP U2,,,,ODCP U2,,,,OCCP U2,,,,Sensing Resistor,,,Step Result,Temperature,Test Time,Test Channel
9,NG,,OK,6,6,OK,3899,OK,4.0200,300,13.4,3.8100,300,12.7,0.0600,300,0.2,9.1200,300,30.4,16.2600,300,54.2,OK,4.03,0,0.27,OK,1068.45,4430,4227,OK,98.48,2507,2510,OK,12.21,7147,OK,OK,7.87,7001,OK,OK,1028.50,4478,4270,OK,94.89,2304,2308,OK,32.35,7916,OK,OK,31.78,8232,OK,NG,0.498,9177.466,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-15 08:05:23,09
10,NG,,OK,1,1,OK,3899,OK,3.6000,300,12.0,3.8100,300,12.7,0.1200,300,0.4,7.9200,300,26.4,15.1500,300,50.5,OK,4.04,0,0.27,OK,1038.77,4430,4227,OK,94.87,2508,2512,OK,11.93,7410,OK,OK,7.73,7532,OK,OK,1085.66,4478,4274,OK,98.31,2304,2308,OK,34.03,7919,OK,OK,33.04,8269,OK,NG,0.514,81934.180,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-15 08:05:23,10
11,OK,,OK,5,5,OK,3891,OK,3.7200,300,12.4,3.9600,300,13.2,0.1200,300,0.4,7.6200,300,25.4,15.7200,300,52.4,OK,4.23,0,0.31,OK,1017.85,4432,4229,OK,93.73,2502,2508,OK,11.65,7383,OK,OK,7.59,7504,OK,OK,951.16,4486,4277,OK,87.87,2303,2308,OK,29.56,7464,OK,OK,29.13,7598,OK,OK,0.497,0.509,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,11
12,OK,,OK,3,3,OK,3905,OK,3.7500,300,12.5,3.6300,300,12.1,0.0300,300,0.1,8.1300,300,27.1,15.5400,300,51.8,OK,4.10,0,0.24,OK,993.15,4430,4222,OK,91.69,2508,2511,OK,11.51,7414,OK,OK,7.45,7425,OK,OK,1063.52,4482,4285,OK,97.60,2299,2303,OK,33.89,8371,OK,OK,33.04,8719,OK,OK,0.513,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,12
13,OK,,OK,4,6,OK,3899,OK,3.7800,300,12.6,3.6900,300,12.3,0.0300,300,0.1,8.0700,300,26.9,15.5700,300,51.9,OK,4.11,0,0.27,OK,1039.30,4434,4229,OK,95.98,2504,2508,OK,11.79,6882,OK,OK,7.73,7072,OK,OK,986.29,4486,4278,OK,90.74,2307,2310,OK,31.24,8027,OK,OK,30.81,8411,OK,OK,0.510,0.511,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,13
14,OK,,OK,4,4,OK,3899,OK,3.6300,300,12.1,3.6000,300,12.0,0.0300,300,0.1,7.8000,300,26.0,15.0600,300,50.2,OK,4.01,0,0.28,OK,992.69,4430,4225,OK,91.64,2502,2507,OK,11.37,7406,OK,OK,7.31,7526,OK,OK,1124.12,4482,4275,OK,102.61,2305,2309,OK,35.99,8590,OK,OK,34.58,8404,OK,OK,0.506,0.532,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,14
15,NG,,OK,5,5,OK,3899,OK,3.7200,300,12.4,3.6600,300,12.2,0.0000,300,0.0,7.7700,300,25.9,15.1500,300,50.5,OK,4.11,0,0.29,OK,973.31,4433,4227,OK,89.68,2499,2504,OK,11.23,7537,OK,OK,7.17,7488,OK,OK,1082.54,4484,4277,OK,100.15,2302,2305,OK,34.17,8168,OK,OK,33.46,8185,OK,NG,10305.624,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-15 08:05:23,15
16,NG,,OK,4,3,OK,3899,OK,3.6300,300,12.1,3.8400,300,12.8,0.0000,300,0.0,8.0700,300,26.9,15.5400,300,51.8,OK,4.05,0,0.30,OK,1066.44,4430,4226,OK,97.65,2509,2514,OK,12.21,7147,OK,OK,8.01,7369,OK,OK,1072.82,4480,4273,OK,97.11,2299,2302,OK,33.62,7783,OK,OK,32.90,7881,OK,NG,16435.684,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-15 08:05:23,16
17,OK,,OK,2,2,OK,3897,OK,3.8100,300,12.7,3.9300,300,13.1,0.1200,300,0.4,7.8600,300,26.2,15.7200,300,52.4,OK,4.07,0,0.29,OK,1034.12,4430,4225,OK,95.00,2500,2504,OK,11.79,7232,OK,OK,7.73,7582,OK,OK,993.51,4484,4277,OK,92.53,2306,2310,OK,31.10,7709,OK,OK,30.38,7686,OK,OK,0.518,0.504,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,17
18,OK,,OK,2,2,OK,3896,OK,3.6000,300,12.0,3.5700,300,11.9,0.2100,300,0.7,7.6500,300,25.5,15.0300,300,50.1,OK,4.00,0,0.24,OK,977.88,4436,4230,OK,90.15,2507,2510,OK,11.23,7337,OK,OK,7.31,7396,OK,OK,1085.61,4485,4276,OK,99.25,2315,2319,OK,34.60,8574,OK,OK,33.46,8495,OK,OK,0.510,0.518,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,18
19,NG,,OK,5,5,OK,3898,OK,3.0300,300,10.1,3.8100,300,12.7,0.0300,300,0.1,7.7700,300,25.9,15.2400,300,50.8,OK,4.27,0,0.29,OK,1021.06,4426,4222,OK,93.89,2507,2512,OK,11.93,7650,OK,OK,7.59,7624,OK,OK,1055.60,4482,4270,OK,97.22,2298,2302,OK,33.05,7719,OK,OK,32.20,7918,OK,NG,0.504,12648.855,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-15 08:05:23,19
20,NG,,OK,4,3,OK,3898,OK,3.9300,300,13.1,3.7800,300,12.6,0.0000,300,0.0,8.0400,300,26.8,15.7500,300,52.5,OK,4.13,0,0.28,OK,1055.41,4431,4228,OK,96.83,2502,2506,OK,12.07,7359,OK,OK,7.87,7351,OK,OK,975.61,4481,4272,OK,89.10,2301,2304,OK,30.26,7507,OK,OK,29.83,7761,OK,NG,0.489,14918.436,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-15 08:05:23,20
21,OK,,OK,4,4,OK,3906,OK,3.0600,300,10.2,3.8400,300,12.8,0.0600,300,0.2,7.8900,300,26.3,15.4500,300,51.5,OK,4.09,0,0.32,OK,1058.72,4428,4224,OK,98.27,2508,2512,OK,12.21,7467,OK,OK,7.87,7591,OK,OK,1055.25,4481,4271,OK,96.59,2307,2311,OK,33.19,7968,OK,OK,32.06,8179,OK,OK,0.505,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,21
22,OK,,OK,6,6,OK,3900,OK,3.6900,300,12.3,3.6900,300,12.3,0.0000,300,0.0,7.9500,300,26.5,15.3300,300,51.1,OK,4.06,0,0.28,OK,1049.73,4429,4224,OK,96.63,2510,2514,OK,12.17,7468,OK,OK,7.87,7641,OK,OK,1017.49,4486,4277,OK,93.53,2306,2310,OK,32.21,8187,OK,OK,31.08,8119,OK,OK,0.506,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,22
23,OK,,OK,2,2,OK,3899,OK,3.8700,300,12.9,3.9900,300,13.3,0.1200,300,0.4,7.9500,300,26.5,16.4100,300,54.7,OK,4.15,0,0.27,OK,1024.24,4432,4227,OK,94.79,2506,2510,OK,11.93,7640,OK,OK,7.59,7754,OK,OK,1058.41,4484,4276,OK,97.11,2304,2308,OK,32.92,7560,OK,OK,32.34,7696,OK,OK,0.520,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,23
24,OK,,OK,4,4,OK,3895,OK,4.0500,300,13.5,3.6000,300,12.0,0.0600,300,0.2,8.4000,300,28.0,16.1100,300,53.7,OK,4.12,0,0.34,OK,971.57,4435,4230,OK,90.28,2502,2506,OK,11.23,7447,OK,OK,7.17,7238,OK,OK,1038.96,4486,4278,OK,95.01,2306,2310,OK,33.33,8646,OK,OK,32.34,8616,OK,OK,0.507,0.505,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,24
25,NG,,OK,5,6,OK,3892,OK,3.7200,300,12.4,3.7500,300,12.5,0.1800,300,0.6,7.8600,300,26.2,15.2100,300,50.7,OK,4.05,0,0.30,OK,976.43,4428,4223,OK,89.87,2509,2515,OK,11.37,7736,OK,OK,7.31,7836,OK,OK,1043.91,4478,4288,OK,94.65,2294,2297,OK,33.19,8478,OK,OK,32.34,8496,OK,NG,10327.231,0.519,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-15 08:05:23,25
26,NG,,OK,6,6,OK,3899,OK,3.3600,300,11.2,3.8100,300,12.7,0.0300,300,0.1,8.0100,300,26.7,15.3600,300,51.2,OK,4.06,0,0.32,OK,1028.33,4428,4224,OK,95.28,2508,2512,OK,11.93,7510,OK,OK,7.73,7732,OK,OK,1002.69,4488,4277,OK,92.26,2307,2310,OK,31.66,7913,OK,OK,30.67,7973,OK,NG,9146.054,0.507,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-15 08:05:23,26
27,OK,,OK,6,5,OK,3898,OK,4.0200,300,13.4,4.0500,300,13.5,0.0600,300,0.2,8.1600,300,27.2,16.1400,300,53.8,OK,4.11,0,0.31,OK,1026.39,4430,4237,OK,94.39,2512,2516,OK,11.65,7143,OK,OK,7.59,7384,OK,OK,1045.97,4482,4274,OK,96.20,2308,2312,OK,32.49,7375,OK,OK,31.92,7630,OK,OK,0.526,0.527,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,27
28,OK,,OK,4,4,OK,3900,OK,3.2400,300,10.8,3.8700,300,12.9,0.0300,300,0.1,7.8000,300,26.0,15.2400,300,50.8,OK,3.89,0,0.34,OK,1005.34,4422,4218,OK,93.26,2500,2504,OK,11.37,7046,OK,OK,7.45,7245,OK,OK,1037.08,4479,4274,OK,95.78,2298,2303,OK,32.35,7656,OK,OK,31.65,7763,OK,OK,0.523,0.522,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,28
29,NG,,OK,6,6,OK,3891,OK,3.5700,300,11.9,3.6300,300,12.1,0.0300,300,0.1,7.9500,300,26.5,14.8800,300,49.6,OK,4.21,0,0.34,OK,1000.20,4428,4224,OK,92.49,2509,2515,OK,11.51,7394,OK,OK,7.45,7495,OK,OK,1030.24,4479,4272,OK,94.48,2306,2309,OK,32.64,8213,OK,OK,31.51,8414,OK,NG,0.490,9170.451,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-15 08:05:23,29
30,NG,,OK,7,7,OK,3899,OK,3.4500,300,11.5,3.7200,300,12.4,0.0600,300,0.2,7.7400,300,25.8,14.6700,300,48.9,OK,4.13,0,0.29,OK,1042.78,4430,4227,OK,96.13,2499,2502,OK,11.93,7270,OK,OK,7.73,7302,OK,OK,1030.59,4484,4277,OK,94.61,2309,2313,OK,32.64,8283,OK,OK,31.36,8246,OK,NG,0.511,7858.194,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-15 08:05:23,30
31,OK,,OK,3,2,OK,3899,OK,3.9300,300,13.1,3.9000,300,13.0,0.0300,300,0.1,8.1000,300,27.0,15.9600,300,53.2,OK,4.09,0,0.28,OK,990.86,4431,4223,OK,90.95,2507,2510,OK,11.23,7147,OK,OK,7.31,7036,OK,OK,975.71,4484,4277,OK,89.06,2308,2311,OK,30.54,7724,OK,OK,29.83,7921,OK,OK,0.520,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,31
32,OK,,OK,3,3,OK,3899,OK,4.0200,300,13.4,3.6300,300,12.1,0.0000,300,0.0,7.6200,300,25.4,15.5700,300,51.9,OK,3.98,0,0.26,OK,1058.14,4426,4220,OK,97.15,2503,2507,OK,12.35,7686,OK,OK,7.87,7661,OK,OK,1117.48,4480,4272,OK,102.43,2308,2312,OK,35.15,8088,OK,OK,34.58,8464,OK,OK,0.514,0.515,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,32
33,OK,,OK,5,4,OK,3892,OK,4.2900,300,14.3,3.8700,300,12.9,0.0600,300,0.2,8.3100,300,27.7,16.2300,300,54.1,OK,6.07,0,0.25,OK,1010.75,4430,4226,OK,94.20,2509,2513,OK,11.51,7064,OK,OK,7.45,7045,OK,OK,1010.72,4485,4277,OK,92.16,2312,2315,OK,31.66,7973,OK,OK,30.81,8121,OK,OK,0.500,0.499,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,33
34,OK,,OK,5,5,OK,3892,OK,4.4400,300,14.8,3.8100,300,12.7,0.0900,300,0.3,7.8600,300,26.2,16.2000,300,54.0,OK,4.08,0,0.31,OK,1099.03,4428,4223,OK,100.65,2505,2509,OK,12.77,7532,OK,OK,8.15,7488,OK,OK,1088.29,4476,4267,OK,100.01,2309,2313,OK,34.17,7858,OK,OK,33.04,7769,OK,OK,0.507,0.501,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,34
35,NG,,OK,3,3,OK,3900,OK,4.3500,300,14.5,3.8400,300,12.8,0.0300,300,0.1,8.0100,300,26.7,16.2300,300,54.1,OK,4.10,0,0.21,OK,1027.19,4431,4227,OK,94.40,2509,2513,OK,11.79,7572,OK,OK,7.59,7534,OK,OK,1033.42,4483,4274,OK,94.45,2298,2302,OK,32.21,7807,OK,OK,31.51,7814,OK,NG,20639.832,0.508,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-15 08:05:23,35
36,NG,,OK,2,2,OK,3899,OK,3.3000,300,11.0,3.6600,300,12.2,0.0300,300,0.1,8.6700,300,28.9,15.9600,300,53.2,OK,4.24,0,0.24,OK,980.58,4426,4220,OK,90.13,2499,2502,OK,11.09,7169,OK,OK,7.31,7396,OK,OK,1054.43,4479,4271,OK,97.47,2312,2315,OK,33.19,8088,OK,OK,32.20,8378,OK,NG,27537.222,0.514,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXXO,0.0,2020-12-15 08:05:23,36
37,OK,,OK,3,3,OK,3899,OK,3.7500,300,12.5,3.7200,300,12.4,0.0000,300,0.0,8.0700,300,26.9,16.1400,300,53.8,OK,4.16,0,0.29,OK,997.46,4431,4225,OK,91.80,2509,2514,OK,11.23,6877,OK,OK,7.31,6976,OK,OK,972.91,4483,4285,OK,89.24,2305,2309,OK,30.68,8033,OK,OK,29.83,8171,OK,OK,0.517,0.512,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,37
38,OK,,OK,6,5,OK,3900,OK,3.7200,300,12.4,3.6600,300,12.2,0.0300,300,0.1,7.9200,300,26.4,15.9300,300,53.1,OK,4.08,0,0.27,OK,1066.45,4430,4225,OK,97.87,2507,2512,OK,12.21,7277,OK,OK,7.87,7241,OK,OK,1085.50,4480,4270,OK,100.89,2309,2312,OK,34.31,8186,OK,OK,33.18,8188,OK,OK,0.506,0.505,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,0.0,2020-12-15 08:05:23,38
39,NG,,OK,0,0,OK,3906,OK,3.9600,300,13.2,3.7200,300,12.4,0.0000,300,0.0,8.6400,300,28.8,16.7700,300,55.9,OK,4.06,0,0.36,OK,1004.83,4430,4226,OK,92.85,2503,2507,OK,11.37,7486,OK,OK,7.45,7675,OK,OK,1027.62,4481,4274,OK,93.23,2302,2306,OK,31.80,7852,OK,OK,31.22,8007,OK,NG,0.508,4294967.307,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-15 08:05:23,39
40,NG,,OK,2,0,OK,3900,OK,4.1100,300,13.7,3.9600,300,13.2,0.0300,300,0.1,7.9800,300,26.6,16.3800,300,54.6,OK,4.18,0,0.41,OK,1045.79,4431,4226,OK,96.29,2502,2505,OK,11.79,7532,OK,OK,7.59,7394,OK,OK,1008.78,4484,4276,OK,93.27,2307,2311,OK,31.24,7537,OK,OK,30.81,7521,OK,NG,0.514,300.019,OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOXOX,0.0,2020-12-15 08:05:23,40
41,NG,,OK,4,4,NG,954,NG,0.0000,300,0.0,0.0000,300,0.0,0.0000,300,0.0,0.0000,300,0.0,-0.3000,300,-1.0,NG,0.00,0,0.01,NG,0.00,0,0,NG,0.00,0,0,NG,0.00,0,NG,NG,0.00,0,NG,NG,0.00,0,0,NG,0.00,0,0,NG,0.00,0,NG,NG,0.00,0,NG,NG,0.030,0.030,OOOXXXOOXOOXOOOOOXOOXXXOOXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,0.0,2020-12-15 08:06:27,01
